Ano;Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
2023;"CIENCIA E TECNOLOGIA";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";25.865.484,69;21.926.612,59;19.491.799,88
2023;AGRICULTURA;"INSTITUTO MINEIRO DE AGROPECUARIA";"DEFESA AGROPECUARIA";42.016.567,52;40.576.032,58;40.451.625,02
2023;TRABALHO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"FOMENTO AO TRABALHO";6.690.274,42;6.636.124,79;6.487.246,17
2023;"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";POLICIAMENTO;64.716.192,50;58.679.207,53;48.616.710,10
2023;CULTURA;"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"DIFUSAO CULTURAL";460.135,29;388.392,76;372.535,40
2023;"GESTAO AMBIENTAL";"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"RECURSOS HIDRICOS";1.442.349,95;1.041.123,92;896.893,80
2023;SAUDE;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"CUSTODIA E REINTEGRACAO SOCIAL";111.538.174,35;105.043.571,05;104.596.542,28
2023;EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ENSINO MEDIO";5.669.721,60;5.610.079,59;5.607.121,60
2023;TRANSPORTE;"SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS";"TRANSPORTE RODOVIARIO";1.500.000,00;0,00;0,00
2023;EDUCACAO;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ENSINO FUNDAMENTAL";133.519.443,79;133.088.658,21;132.808.435,65
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"TECNOLOGIA DA INFORMACAO";123.595.877,89;93.208.623,95;82.744.070,70
2023;ADMINISTRACAO;"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"ADMINISTRACAO FINANCEIRA";20.000,00;9.819,03;9.819,03
2023;TRANSPORTE;"SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS";"TRANSPORTE AEREO";6.075.712,67;4.231.585,66;4.121.327,12
2023;"ENCARGOS ESPECIAIS";"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"OUTROS ENCARGOS ESPECIAIS";732.737.161,00;592.168.020,67;592.168.020,67
2023;"ENCARGOS ESPECIAIS";"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";16.552.363,63;16.218.250,50;14.922.249,30
2023;"ENCARGOS ESPECIAIS";"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"OUTROS ENCARGOS ESPECIAIS";6.689.492,95;6.560.551,88;6.443.656,74
2023;"ENCARGOS ESPECIAIS";"LOTERIA DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";3.000,00;3.000,00;3.000,00
2023;"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";1.483.013.062,43;1.482.160.501,67;924.794.168,95
2023;EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";113.630.219,37;104.572.074,86;100.024.087,77
2023;JUDICIARIA;"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";43.621.247,98;43.621.247,98;43.621.247,98
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"ADMINISTRACAO GERAL";12.764.113,62;12.438.511,42;12.386.918,40
2023;ADMINISTRACAO;"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";6.918.106,90;6.728.712,23;6.670.867,23
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS";"ADMINISTRACAO GERAL";10.649.623,11;9.454.110,71;9.255.281,53
2023;SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";134.316.335,31;113.355.271,64;110.189.656,97
2023;EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ASSISTENCIA COMUNITARIA";483,00;0,00;0,00
2023;TRABALHO;"FUNDO ESTADUAL DO TRABALHO DE MINAS GERAIS";"FOMENTO AO TRABALHO";274.851,22;49.482,40;48.818,98
2023;CULTURA;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO";1.983.862,28;1.901.067,43;1.901.009,71
2023;LEGISLATIVA;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";1.942.709,09;1.523.431,50;1.506.059,05
2023;EDUCACAO;"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ENSINO PROFISSIONAL";999,95;999,95;999,95
2023;"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE CULTURA E TURISMO";TURISMO;7.655.183,81;6.228.364,81;6.199.248,82
2023;"CIENCIA E TECNOLOGIA";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";263.353.887,10;245.809.475,84;227.440.924,01
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO FINANCEIRA";105.894.754,92;93.756.801,00;90.326.402,71
2023;"ENCARGOS ESPECIAIS";"GESTAO DA DIVIDA PUBLICA ESTADUAL";"OUTROS ENCARGOS ESPECIAIS";1.597.767.143,50;1.597.767.143,50;1.561.825.710,61
2023;SAUDE;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";279.616.823,40;229.895.914,92;224.430.263,37
2023;LEGISLATIVA;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"ACAO LEGISLATIVA";964.116.093,83;931.520.289,12;920.110.714,01
2023;ADMINISTRACAO;"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.623.222,28;1.566.085,07;1.563.331,46
2023;SAUDE;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";126.136.812,89;101.335.372,06;98.940.437,90
2023;HABITACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ASSISTENCIA COMUNITARIA";3.707.943,23;3.707.943,23;3.707.943,23
2023;TRANSPORTE;"SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS";"TRANSPORTES COLETIVOS URBANOS";7.408.250,38;7.384.267,26;7.384.267,26
2023;"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"DEFESA CIVIL";678.126.053,21;612.216.151,82;609.266.650,68
2023;"ESSENCIAL A JUSTICA";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"REPRESENTACAO JUDICIAL E EXTRAJUDICIAL";564.712.869,52;546.459.156,71;541.104.283,84
2023;EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO MEDIO";3.053.956.682,43;3.049.289.213,60;3.048.755.251,09
2023;AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"PROTECAO E BENEFICIOS AO TRABALHADOR";35.913,53;0,00;0,00
2023;SANEAMENTO;"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"SANEAMENTO BASICO RURAL";4.084.343,13;1.482.192,38;1.475.952,32
2023;"RELACOES EXTERIORES";"SECRETARIA DE ESTADO DA CASA CIVIL";"COOPERACAO INTERNACIONAL";638.780,53;570.116,43;570.116,43
2023;ADMINISTRACAO;SECRETARIA-GERAL;"COMUNICACAO SOCIAL";57.468.484,30;46.050.191,98;43.094.239,54
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL";"COMUNICACAO SOCIAL";68.188.271,05;13.658.930,13;8.946.736,00
2023;"SEGURANCA PUBLICA";"FUNDO ESTADUAL DE SEGURANCA PUBLICA DE MINAS GERAIS";"ADMINISTRACAO FINANCEIRA";17.947.734,79;3.621.620,26;3.300.223,44
2023;EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"DESPORTO COMUNITARIO";100.000,00;100.000,00;100.000,00
2023;"ENCARGOS ESPECIAIS";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"OUTROS ENCARGOS ESPECIAIS";260.636,45;260.636,45;251.001,47
2023;"ENCARGOS ESPECIAIS";"ADVOCACIA GERAL DO ESTADO";"OUTROS ENCARGOS ESPECIAIS";445.638.016,79;325.313.681,96;299.853.515,18
2023;"ESSENCIAL A JUSTICA";"FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR";"ACAO JUDICIARIA";25.403.929,97;12.429.552,94;11.845.575,87
2023;ADMINISTRACAO;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.224.234,26;1.224.234,26;1.224.234,26
2023;ADMINISTRACAO;"FUNDACAO DE ARTE DE OURO PRETO";"ADMINISTRACAO GERAL";1.504.633,57;1.311.673,50;1.244.624,08
2023;HABITACAO;"FUNDO ESTADUAL DE HABITACAO";"ADMINISTRACAO GERAL";12.105.313,88;12.105.313,88;12.105.313,88
2023;"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";19.434.046,17;16.981.153,89;16.897.813,87
2023;TRABALHO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"FOMENTO AO TRABALHO";994.099,67;716.344,76;712.728,26
2023;"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";POLICIAMENTO;1.914.582.754,86;1.859.390.573,10;1.847.431.749,81
2023;SAUDE;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ATENCAO BASICA";294.671,93;294.671,93;294.671,93
2023;CULTURA;"FUNDACAO CLOVIS SALGADO";"DIFUSAO CULTURAL";24.875.177,15;23.388.030,65;23.343.398,62
2023;EDUCACAO;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"ENSINO SUPERIOR";328.845.614,68;281.239.031,60;275.686.802,77
2023;SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";9.661.787,60;9.422.963,77;9.367.406,26
2023;SAUDE;"FUNDO ESTADUAL DE SAUDE";"ASSISTENCIA AO PORTADOR DE DEFICIENCIA";87.541.358,63;41.927.307,86;37.976.059,62
2023;"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"PREVIDENCIA ESPECIAL";41.053.545,73;41.053.545,73;41.053.545,73
2023;"CIENCIA E TECNOLOGIA";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"DESENVOLVIMENTO TECNOLOGICO E ENGENHARIA";3.461.600,00;3.461.600,00;3.461.600,00
2023;SAUDE;"FUNDO ESTADUAL DE SAUDE";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";5.174.831,26;5.174.831,26;4.363.264,04
2023;TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"TRANSPORTE RODOVIARIO";57.529.308,16;37.661.476,22;36.369.978,01
2023;TRANSPORTE;"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"TRANSPORTE RODOVIARIO";1.191.814.458,74;648.422.201,99;593.687.296,24
2023;"ENCARGOS ESPECIAIS";"EMPRESA MINEIRA DE COMUNICACAO";"OUTROS ENCARGOS ESPECIAIS";472.367,17;472.367,17;472.367,17
2023;"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"CONTROLE AMBIENTAL";10.468.812,12;10.283.973,63;10.237.212,04
2023;SAUDE;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";1.557.199.790,02;1.457.169.407,76;1.418.946.636,35
2023;CULTURA;"FUNDACAO JOAO PINHEIRO";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";1.560.111,52;1.380.384,53;1.375.301,48
2023;"COMERCIO E SERVICOS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"NORMALIZACAO E QUALIDADE";835.251,61;798.799,41;801.812,00
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"ADMINISTRACAO GERAL";307.817.203,57;241.469.950,32;225.256.233,75
2023;ADMINISTRACAO;"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"ADMINISTRACAO GERAL";11.810.472,47;11.512.989,03;11.424.343,42
2023;HABITACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ADMINISTRACAO GERAL";243.111,35;238.017,02;239.194,82
2023;"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";141.209.325,89;139.210.107,46;138.100.157,35
2023;"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";103.330.535,63;102.695.247,14;102.560.646,21
2023;"ESSENCIAL A JUSTICA";"ADVOCACIA GERAL DO ESTADO";"REPRESENTACAO JUDICIAL E EXTRAJUDICIAL";270.881.685,77;263.206.333,89;256.506.637,70
2023;"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"PROTECAO E BENEFICIOS AO TRABALHADOR";163.800,09;149.442,48;149.442,48
2023;SANEAMENTO;"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"SANEAMENTO BASICO URBANO";19.482.781,36;18.277.990,00;17.932.479,47
2023;"ENCARGOS ESPECIAIS";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";234.534,27;234.534,27;210.259,87
2023;"ENCARGOS ESPECIAIS";"FUNDACAO HELENA ANTIPOFF";"OUTROS ENCARGOS ESPECIAIS";28.419,71;28.419,71;28.419,71
2023;"ENCARGOS ESPECIAIS";"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";795.584,33;795.584,33;780.465,87
2023;"PREVIDENCIA SOCIAL";"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";1.477.225.843,17;1.477.225.843,17;1.477.245.374,82
2023;"PREVIDENCIA SOCIAL";"FUNDO FINANCEIRO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";12.871.665.243,01;12.871.317.539,64;12.874.902.498,42
2023;SAUDE;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";16.248.183,76;15.979.258,73;15.876.336,93
2023;JUDICIARIA;"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"ACAO JUDICIARIA";12.354.832,82;10.521.990,99;9.785.184,82
2023;JUDICIARIA;"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";4.756.608.754,70;4.756.608.754,70;4.756.929.551,16
2023;ADMINISTRACAO;"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"ADMINISTRACAO GERAL";17.696.220,97;17.662.485,49;17.575.828,80
2023;ADMINISTRACAO;SECRETARIA-GERAL;"ADMINISTRACAO GERAL";6.915.045,73;6.819.725,57;6.716.984,72
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"ADMINISTRACAO GERAL";11.301.627,01;10.633.486,36;10.613.986,42
2023;EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ADMINISTRACAO GERAL";20.121.178,30;17.587.403,14;17.168.383,36
2023;ADMINISTRACAO;"FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO - PRIVADAS DE MINAS GERAIS";"ADMINISTRACAO DE CONCESSOES";615.484.642,98;223.900.715,39;189.907.958,51
2023;"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DESPORTO DE RENDIMENTO";1.472.036,23;1.465.701,23;1.371.951,23
2023;CULTURA;"EMPRESA MINEIRA DE COMUNICACAO";"DIFUSAO CULTURAL";10.489.121,99;10.489.121,99;10.489.121,99
2023;"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"DEFESA CIVIL";12.146.290,93;8.219.513,82;7.240.042,66
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DA CASA CIVIL";"PLANEJAMENTO E ORCAMENTO";723.036,13;640.199,99;634.015,66
2023;EDUCACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"ENSINO PROFISSIONAL";4.684.556,63;4.289.602,34;3.259.853,50
2023;"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ENSINO PROFISSIONAL";30.274,56;30.016,56;34.392,64
2023;HABITACAO;"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"HABITACAO URBANA";3.614.000,00;3.614.000,00;3.614.000,00
2023;SAUDE;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";5.662.721,78;5.644.237,28;5.234.823,17
2023;EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ENSINO FUNDAMENTAL";9.389.200,84;9.020.438,07;9.018.446,78
2023;SAUDE;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";16.341.593,95;16.182.675,63;16.167.016,31
